zip,zone,lat,lon
01450,5b,42.6,-71.57
02338,5b,41.98,-70.86
02339,5b,42.11,-70.81
02341,5b,42.06,-70.85
01451,5b,42.5,-71.58
02645,5b,41.69,-70.07
02646,5b,41.66,-70.06
01830,5b,42.78,-71.08
01832,5b,42.78,-71.08
01833,5b,42.73,-70.98
01834,5b,42.75,-71.03
01835,5b,42.78,-71.08
02043,5b,42.23,-70.88
02343,5b,42.14,-71
01520,5b,42.35,-71.85
01746,5b,42.2,-71.43
01747,5b,42.12,-71.54
01748,5b,42.22,-71.52
01452,5b,42.48,-72.01
01749,5b,42.39,-71.56
02045,5b,42.3,-70.9
02601,5b,41.65,-70.29
01938,5b,42.67,-70.83
01522,5b,42.38,-71.87
01523,5b,42.45,-71.66
01840,5b,42.7,-71.16
01841,5b,42.7,-71.16
01843,5b,42.7,-71.16
01844,5b,42.71,-71.18
01845,5b,42.7,-71.11
01524,5b,42.25,-71.9
01453,5b,42.51,-71.77
01773,5b,42.41,-71.3
01460,5b,42.53,-71.47
01850,5b,42.63,-71.32
01851,5b,42.63,-71.32
01852,5b,42.63,-71.32
01854,5b,42.63,-71.32
01462,5b,42.59,-71.72
01901,5b,42.47,-70.96
01902,5b,42.47,-70.96
01904,5b,42.47,-70.96
01905,5b,42.47,-70.96
01906,5b,42.46,-71.01
01907,5b,42.46,-70.89
01908,5b,42.42,-70.92
01940,5b,42.53,-71.04
01944,5b,42.56,-70.76
02048,5b,42.02,-71.21
01945,5b,42.5,-70.85
01752,5b,42.34,-71.54
02050,5b,42.09,-70.7
02648,5b,41.67,-70.4
02649,5b,41.65,-70.48
01754,5b,42.42,-71.45
02052,5b,42.18,-71.3
02053,5b,42.13,-71.4
01756,5b,42.1,-71.55
01860,5b,42.83,-71
02346,5b,41.86,-70.9
01949,5b,42.6,-71.01
01757,5b,42.14,-71.51
01527,5b,42.19,-71.76
01984,5b,42.6,-70.88
02668,5b,41.7,-70.37
01581,5b,42.26,-71.61
01583,5b,42.36,-71.78
02379,5b,42.01,-71
01585,5b,42.23,-72.14
02670,5b,41.66,-70.16
01886,5b,42.58,-71.43
02671,5b,41.67,-70.11
01473,5b,42.55,-71.9
01985,5b,42.8,-71
01568,5b,42.17,-71.61
